,road_damage_synthetic_data,,,,,,,,,,,,,,,
,id,damage_type,area_m2,depth_cm,crack_length_m,location_type,traffic_level,weather_condition,repair_method,material_used,labor_cost_inr,material_cost_inr,equipment_cost_inr,total_cost_inr,repair_duration_days,contractor_name
,1,pothole,2.03,13,0.0,urban,medium,dry,full_depth_repair,bitumen,997,2832,629,4458,5,IRB Infrastructure
,2,crack,2.42,0,2.06,urban,very_high,dry,full_depth_repair,bitumen,638,1609,938,3185,6,Shapoorji Pallonji
,3,pothole,4.29,4,0.0,urban,high,dry,resurfacing,asphalt,3819,10000,2150,15969,6,GMR Infra
,4,pothole,1.77,4,0.0,rural,very_high,dry,cold_mix,gravel,1071,2833,661,4565,5,KNR Constructions
,5,pothole,4.36,11,0.0,rural,medium,humid,patching,concrete,4430,10000,3514,17944,5,IRB Infrastructure
,6,crack,0.53,0,7.45,urban,medium,dry,full_depth_repair,concrete,1757,4276,1392,7425,3,Gayatri Projects
,7,pothole,3.91,3,0.0,urban,medium,dry,resurfacing,asphalt,2659,7699,2024,12382,4,JMC Projects
,8,pothole,4.25,19,0.0,highway,medium,humid,resurfacing,concrete,3415,10000,3071,16486,5,NCC Limited
,9,pothole,0.99,1,0.0,rural,high,rainy,full_depth_repair,bitumen,586,1434,624,2644,6,KNR Constructions
,10,crack,2.21,0,2.11,rural,medium,dry,resurfacing,asphalt,358,1170,300,1828,3,JMC Projects
,11,pothole,0.91,1,0.0,rural,high,humid,patching,concrete,447,1140,365,1952,3,Ramky Infra
,12,pothole,3.56,19,0.0,highway,high,dry,cold_mix,bitumen,4963,10000,5501,20464,6,Shapoorji Pallonji
,13,pothole,2.72,19,0.0,highway,medium,humid,full_depth_repair,concrete,2186,6335,1317,9838,8,Ashoka Buildcon
,14,pothole,3.21,4,0.0,highway,very_high,rainy,resurfacing,concrete,5000,10000,5838,20838,9,Megha Engineering
,15,crack,1.06,0,9.85,urban,medium,rainy,resurfacing,asphalt,1853,4463,1633,7949,4,Tata Projects
,16,pothole,1.14,15,0.0,urban,high,rainy,resurfacing,bitumen,1237,2870,1354,5461,6,Shapoorji Pallonji
,17,crack,0.3,0,8.69,urban,high,dry,cold_mix,asphalt,1309,4149,965,6423,2,Punj Lloyd
,18,crack,1.68,0,8.5,highway,medium,rainy,resurfacing,asphalt,1477,4861,2227,8565,5,JMC Projects
,19,crack,2.84,0,5.16,urban,medium,dry,full_depth_repair,concrete,1343,3752,490,5585,4,JMC Projects
,20,pothole,4.3,11,0.0,rural,high,dry,cold_mix,bitumen,2662,6715,1557,10934,6,GR Infraprojects
